INPUT,/kɑt̪ubut̪ɑs/,/riːmiːt̪i/,/riːmiːt̪/,/let̪ɑs/,/t̪ent̪/,/t̪omet̪ent̪/,/t̪oent̪ent̪/,/wenikɑros/,/wiroɡɑlɑ/,/esoʔkenet̪lɑn/,/esɑsʔkenet̪lɑn/,/esɑnʔkenet̪lɑn/,/esoʔsuːlis/,/esɑsʔsuːlis/,/t̪oriːmo/,/niːsʔt̪oriːmiːt̪/,/ɡoni/,/klut̪ɑn/,/bit̪oːs/,/mroɡis/,/moniklɑs/,/esoʔɡoni/,/esɑnʔɡoni/,/sesɑnʔsuːliːs/,/esoʔlet̪ɑs/,/nemos/,/dubnowɑlos/,/kɑmbos/,/ɑdmentos/,/ɑmsterɑː/,/ɑmɑrom/,/ɑmɸlɑbros/,/beismɑn/,/kɑnxsmɑn/,/klɑmos/,/knɑːmis/,/komɸroɑnkom/,/kurmi/
R32,,,,,*/t̪ʲˈeːhd̪/,*/t̪ˈomʲeθʲˌeːhd̪/,*/t̪ʲˈeːhd̪ʲˌeːhd̪/,,,*/ˈɑχoxʲˈenʲˌeːhlːɑ/,*/ˈɑχɑχkʲˈenʲˌeːhlːɑ/,*/ˈɑχɑnːɡʲˈenʲˌeːhlːɑ/,,,,,,,,,*/mːˈunʲˌeːhlːɑ/,,,,,,*/dˈoːhnːohˌɑlo/,*/kˈɑːhbɑ/,*/ˈɑːhmʲːˌeːhdo/,*/ˈɑːhstʲerɑː/,,*/ˈɑːhlːˌɑːhrːo/,,*/kˈɑːhxsmːɑ/,,,*/kˈoːhrːˌɑːhɡo/,
R33,*/kˈɑθβˌɑθ/,*/rːʲˈiːmʲiːθʲ/,,*/lːʲˈeθ/,,*/t̪ˈomʲθʲˌeːhd̪/,,*/fʲˈinʲxˌɑr/,*/fʲˈerɣˌɑl/,*/ˈɑχxʲˈenʲˌeːhlː/,*/ˈɑχχkʲˈenʲˌeːhlː/,*/ˈɑχnːɡʲˈenʲˌeːhlː/,*/ˈɑχχˈuːlʲ/,*/ˈɑχχsˈuːlʲ/,*/t̪ˈurʲeːm/,,*/ɡˈunʲ/,*/klːˈoθ/,,*/mːrːˈuɣʲ/,*/mːˈunʲˌeːhlː/,*/ˈɑχɣˈunʲ/,*/ˈɑχnːɡˈunʲ/,*/sˈɑχsːˈuːlʲiː/,*/ˈɑχlʲˈeθ/,*/nːʲˈem/,*/dˈoːhnːhˌɑl/,*/kˈɑːhb/,*/ˈɑːhmʲːˌeːhd/,*/ˈɑːhstʲrɑː/,*/ˈɑmr/,*/ˈɑːhlːˌɑːhrː/,*/bʲˈiˌeχmː/,*/kˈɑːhxsmː/,*/klːˈɑm/,*/knːˈɑːmʲ/,*/kˈoːhrːˌɑːhɡ/,*/kˈurːmʲː/
R34,,*/rːʲˈiːmʲiθʲ/,*/rːʲˈiːmʲi/,,,,,,,,,,,,*/t̪ˈurʲem/,*/nːʲˈiːχt̪ˈurʲimʲi/,,,*/bʲˈeθo/,,,,,*/sˈɑχsːˈuːlʲi/,,,,,,*/ˈɑːhstʲrɑ/,,,,,,,,
R35,,,,,,,,,,,,,,,*/t̪ˈurʲeβ̃/,,,,,,,,,,,*/nːʲˈeβ̃/,,,,,,,,,*/klːˈɑβ̃/,*/knːˈɑːβʲ̃/,,
R36,,*/rːʲˈiːβʲ̃iθʲ/,*/rːʲˈiːβʲ̃i/,,,,,,,,,,,,,*/nːʲˈiːχt̪ˈurʲiβʲ̃i/,,,,,,,,,,,,,*/ˈɑːhβʲ̃ːˌeːhd/,,*/ˈɑβ̃r/,,,,,,,
R37,,,,,,,,,,*/ˈɑhxʲˈenʲˌeːhlː/,*/ˈɑhhkʲˈenʲˌeːhlː/,*/ˈɑhnːɡʲˈenʲˌeːhlː/,*/ˈɑhhˈuːlʲ/,*/ˈɑhhsˈuːlʲ/,,*/nːʲˈiːht̪ˈurʲiβʲ̃i/,,,,,,*/ˈɑhɣˈunʲ/,*/ˈɑhnːɡˈunʲ/,*/sˈɑhsːˈuːlʲi/,*/ˈɑhlʲˈeθ/,,,,,,,,*/bʲˈiˌehmː/,,,,,
R38,,,,,*/t̪ʲˈeːd̪/,*/t̪ˈomʲθʲˌeːd̪/,*/t̪ʲˈeːd̪ʲˌeːd̪/,,,*/ˈɑxʲˈenʲˌeːlː/,*/ˈɑkʲˈenʲˌeːlː/,*/ˈɑnːɡʲˈenʲˌeːlː/,*/ˈɑhˈuːlʲ/,*/ˈɑsˈuːlʲ/,,*/nːʲˈiːt̪ˈurʲiβʲ̃i/,,,,,*/mːˈunʲˌeːlː/,*/ˈɑɣˈunʲ/,*/ˈɑnːɡˈunʲ/,*/sˈɑsːˈuːlʲi/,*/ˈɑlʲˈeθ/,,*/dˈoːnːhˌɑl/,*/kˈɑːb/,*/ˈɑːβʲ̃ːˌeːd/,*/ˈɑːstʲrɑ/,,*/ˈɑːlːˌɑːrː/,*/bʲˈiˌemː/,*/kˈɑːxsmː/,,,*/kˈoːrːˌɑːɡ/,
R39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R40,,,,,,,,*/fʲˈinxˌɑr/,,,,,,,,,,,,,,,,,,,,,,*/ˈɑːstrɑ/,,,,,,,,
R41,,,,,,,,,,,,*/ˈɑnːʲɡʲˈenʲˌeːlː/,,,,,,,,,,,,,,,,,,,,,,,,,,*/kˈurːʲmʲː/
R42,,,,,,,,,,,,,,,,,,,,,,,*/ˈɑŋːɡˈunʲ/,,,,,,,,,,,,,,,
R43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R44,*/kˈɑθvˌɑθ/,*/rːʲˈiːṽʲiθʲ/,*/rːʲˈiːṽʲi/,,,,,,,,,,,,*/t̪ˈurʲeṽ/,*/nːʲˈiːt̪ˈurʲiṽʲi/,,,,,,,,,,*/nːʲˈeṽ/,,,*/ˈɑːṽʲːˌeːd/,,*/ˈɑṽr/,,,,*/klːˈɑṽ/,*/knːˈɑːṽʲ/,,
R45,*/kɑθvɑθ/,*/rːʲiːṽʲiθʲ/,*/rːʲiːṽʲi/,*/lːʲeθ/,*/t̪ʲeːd̪/,*/t̪omʲθʲeːd̪/,*/t̪ʲeːd̪ʲeːd̪/,*/fʲinxɑr/,*/fʲerɣɑl/,*/ɑxʲenʲeːlː/,*/ɑkʲenʲeːlː/,*/ɑnːʲɡʲenʲeːlː/,*/ɑhuːlʲ/,*/ɑsuːlʲ/,*/t̪urʲeṽ/,*/nːʲiːt̪urʲiṽʲi/,*/ɡunʲ/,*/klːoθ/,*/bʲeθo/,*/mːrːuɣʲ/,*/mːunʲeːlː/,*/ɑɣunʲ/,*/ɑŋːɡunʲ/,*/sɑsːuːlʲi/,*/ɑlʲeθ/,*/nːʲeṽ/,*/doːnːhɑl/,*/kɑːb/,*/ɑːṽʲːeːd/,*/ɑːstrɑ/,*/ɑṽr/,*/ɑːlːɑːrː/,*/bʲiemː/,*/kɑːxsmː/,*/klːɑṽ/,*/knːɑːṽʲ/,*/koːrːɑːɡ/,*/kurːʲmʲː/
