INPUT,/moriːnɑ/,/morinɑ/,/morenɑ/,/sɑbrinɑ/,/kɑt̪umɑnd̪us/,/wind̪oseibɑris/,/d̪eːwoɡnɑːt̪ɑ/,/ɡnɑːt̪ɑ/,/nemɑ/,/kɑrt̪imɑndwɑ/,/kʷekjɑ/,/mɑːt̪ronɑ/,/boud̪iːkɑ/,/kʷennowind̪ɑ/,/kunokʷennɑ/,/luɡuselwɑ/,/worɡellɑ/,/briɡɑnt̪iː/,/ɑbesiɑ/,/ɑd̪eɡiɑ/,/ɑjjusɑ/,/ɑjnikt̪ɑ/,/ɑlɑukɑ/,/ɑnd̪ikɑwɑ/,/ɑrd̪ɑ/,/ɑrikɑ/,/ɑd̪t̪est̪sɑ/,/ɑtiɑ/,/ɑːt̪ilɑ/,/ɑwɑwkiɑ/,/bɑnoːnɑ/,/bɑrrɑ/,/belɑ/,/bit̪liɑ/,/boːd̪iɑːkɑ/,/breɡissɑ/,/nːʲe/
=Stressed-Irish,null*/mːˈurʲeːnɑ/,null*/mːˈurʲenɑ/,null*/mːˈorʲenɑ/,null*/sˈɑbrʲːenɑ/,null*/kˈɑθomˌɑnːd̪u/,null*/fʲˈenːd̪oɕˠˌieβˌɑrʲi/,null*/d̪ʲˈeːhoɡnːˌɑːθɑ/,null*/ɡnːˈɑːθɑ/,null*/nːʲˈemɑ/,null*/kˈɑrːt̪ʲemˌɑnːdfɑ/,null*/kʲʷˈekʲjɑ/,null*/mːˈɑːt̪rːonɑ/,null*/bˈuðʲeːxɑ/,null*/kʲʷˈenːnːuhˌenːd̪ɑ/,null*/kˈonoçʷˌenːnːɑ/,null*/lːˈuɣuɕˠˌelːfɑ/,null*/fˈorːɡʲˌelːlːɑ/,null*/brʲːˈeɣˌɑnːt̪ʲiː/,null*/ˈɑβɑɕˠˌeɑ/,null*/ˈɑðɑɣʲˌeɑ/,null*/ˈɑjjoχɑ/,null*/ˈɑjnːʲˌekt̪ɑ/,null*/ˈɑlɑˌoxɑ/,null*/ˈɑnːd̪ʲexˌɑhɑ/,null*/ˈɑrːd̪ɑ/,null*/ˈɑrʲexɑ/,null*/ˈɑd̪t̪ˌɑχt̪sɑ/,null*/ˈɑ?eɑ/,null*/ˈɑːθʲelɑ/,null*/ˈɑhɑwxʲˌeɑ/,null*/bˈɑnoːnɑ/,null*/bˈɑrːrːɑ/,null*/bʲˈelɑ/,null*/bʲˈit̪rʲːˡeɑ/,null*/bˈuːðʲeˌɑːxɑ/,null*/brːˈɑɣʲˌeχsɑ/,null*/nːʲˈe/
R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R22,,,*/mːˈɑrʲenɑ/,,,,,,,,,,,,,,*/fˈɑrːɡʲˌelːlːɑ/,,,,,,,,,,,,,,,,,,,,
R23,,,,,,,,,,,,,,*/kʲʷˈenːuhˌenːd̪ɑ/,*/kˈonoçʷˌenːɑ/,,,,,,,,,,,,,,,,,,,,,,
R24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=Primitive-Irish,null*/mːˈurʲeːnɑ/,null*/mːˈurʲenɑ/,null*/mːˈɑrʲenɑ/,null*/sˈɑbrʲːenɑ/,null*/kˈɑθomˌɑnːd̪u/,null*/fʲˈenːd̪oɕˠˌieβˌɑrʲi/,null*/d̪ʲˈeːhoɡnːˌɑːθɑ/,null*/ɡnːˈɑːθɑ/,null*/nːʲˈemɑ/,null*/kˈɑrːt̪ʲemˌɑnːdfɑ/,null*/kʲʷˈekʲjɑ/,null*/mːˈɑːt̪rːonɑ/,null*/bˈuðʲeːxɑ/,null*/kʲʷˈenːuhˌenːd̪ɑ/,null*/kˈonoçʷˌenːɑ/,null*/lːˈuɣuɕˠˌelːfɑ/,null*/fˈɑrːɡʲˌelːlːɑ/,null*/brʲːˈeɣˌɑnːt̪ʲiː/,null*/ˈɑβɑɕˠˌeɑ/,null*/ˈɑðɑɣʲˌeɑ/,null*/ˈɑjjoχɑ/,null*/ˈɑjnːʲˌekt̪ɑ/,null*/ˈɑlɑˌoxɑ/,null*/ˈɑnːd̪ʲexˌɑhɑ/,null*/ˈɑrːd̪ɑ/,null*/ˈɑrʲexɑ/,null*/ˈɑd̪t̪ˌɑχt̪sɑ/,null*/ˈɑ?eɑ/,null*/ˈɑːθʲelɑ/,null*/ˈɑhɑwxʲˌeɑ/,null*/bˈɑnoːnɑ/,null*/bˈɑrːrːɑ/,null*/bʲˈelɑ/,null*/bʲˈit̪rʲːˡeɑ/,null*/bˈuːðʲeˌɑːxɑ/,null*/brːˈɑɣʲˌeχsɑ/,null*/nːʲˈe/
R25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26,,,,,,,,,,*/kˈɑrːd̪ʲemˌɑnːdfɑ/,*/kʲʷˈeɡʲjɑ/,*/mːˈɑːd̪rːonɑ/,,,,,,*/brʲːˈeɣˌɑnːd̪ʲiː/,,,,,,,,,*/ˈɑd̪d̪ˌɑχt̪sɑ/,,,,,,,*/bʲˈid̪rʲːˡeɑ/,,,
R27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R28,,,,,*/kˈɑθomˌɑhd̪u/,*/fʲˈehd̪oɕˠˌieβˌɑrʲi/,,,,*/kˈɑrːd̪ʲemˌɑhdfɑ/,,,,*/kʲʷˈenːuhˌehd̪ɑ/,,,,*/brʲːˈeɣˌɑhd̪ʲiː/,,,,,,*/ˈɑhd̪ʲexˌɑhɑ/,,,,,,,,,,,,,
R29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R30,,,,*/sˈɑhrʲːenɑ/,,,*/d̪ʲˈeːhohnːˌɑːθɑ/,,,*/kˈɑrːd̪ʲemˌɑhhfɑ/,*/kʲʷˈehjɑ/,*/mːˈɑːhrːonɑ/,,,,,,,,,,*/ˈɑjnːʲˌeht̪ɑ/,,,,,*/ˈɑhd̪ˌɑχhsɑ/,,,,,,,*/bʲˈihrʲːˡeɑ/,,,
R31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R32,,,,*/sˈɑːhrʲːenɑ/,*/kˈɑθomˌɑːhd̪u/,*/fʲˈeːhd̪oɕˠˌieβˌɑrʲi/,,,,*/kˈɑrːd̪ʲemˌɑːhhfɑ/,*/kʲʷˈeːhjɑ/,,,*/kʲʷˈenːuhˌeːhd̪ɑ/,,,,*/brʲːˈeɣˌɑːhd̪ʲiː/,,,,*/ˈɑjnːʲˌeːht̪ɑ/,,*/ˈɑːhd̪ʲexˌɑːhɑ/,,,*/ˈɑːhd̪ˌɑχhsɑ/,,,*/ˈɑːhɑwxʲˌeɑ/,,,,*/bʲˈiːhrʲːˡeɑ/,,,
R33,,*/mːˈurʲeːnɑ/,*/mːˈɑrʲeːnɑ/,*/sˈɑːhrʲːeːnɑ/,,,,,,,,*/mːˈɑːhrːoːnɑ/,,,,,,,,,,,,,,,,,*/ˈɑːθʲeːlɑ/,,,,,,,,
R34,*/mːˈurʲeːn/,*/mːˈurʲeːn/,*/mːˈɑrʲeːn/,*/sˈɑːhrʲːeːn/,*/kˈɑθmˌɑːhd̪/,*/fʲˈeːhd̪ɕˠˌiβˌɑrʲ/,*/d̪ʲˈeːhhnːˌɑːθ/,*/ɡnːˈɑːθ/,*/nːʲˈem/,*/kˈɑrːd̪ʲmˌɑːhhf/,*/kʲʷˈeːhj/,*/mːˈɑːhrːoːn/,*/bˈuðʲeːx/,*/kʲʷˈenːhˌeːhd̪/,*/kˈonçʷˌenː/,*/lːˈuɣɕˠˌelːf/,*/fˈɑrːɡʲˌelːlː/,,*/ˈɑβɕˠˌe/,*/ˈɑðɣʲˌe/,*/ˈɑjjχ/,*/ˈɑjnːʲˌeːht̪/,*/ˈɑlˌox/,*/ˈɑːhd̪ʲxˌɑːh/,*/ˈɑrːd̪/,*/ˈɑrʲx/,*/ˈɑːhd̪ˌɑχhs/,*/ˈɑ?ɑ/,*/ˈɑːθʲeːl/,*/ˈɑːhwxʲˌe/,*/bˈɑnoːn/,*/bˈɑrːrː/,*/bʲˈel/,*/bʲˈiːhrʲːˡɑ/,*/bˈuːðʲˌɑːx/,*/brːˈɑɣʲˌeχs/,
R35,*/mːˈurʲen/,*/mːˈurʲen/,*/mːˈɑrʲen/,*/sˈɑːhrʲːen/,,,,,,,,*/mːˈɑːhrːon/,*/bˈuðʲex/,,,,,*/brʲːˈeɣˌɑːhd̪ʲi/,,,,,,,,,,,*/ˈɑːθʲel/,,*/bˈɑnon/,,,,,,
R36,,,,,,,,,*/nːʲˈeβ̃/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R38,,,,,,,,,,,,,,,,,,,,,*/ˈɑjjh/,,,,,,*/ˈɑːhd̪ˌɑhhs/,,,,,,,,,*/brːˈɑɣʲˌehs/,
R39,,,,*/sˈɑːrʲːen/,*/kˈɑθmˌɑːd̪/,*/fʲˈeːd̪ɕˠˌiβˌɑrʲ/,*/d̪ʲˈeːnːˌɑːθ/,,,*/kˈɑrːd̪ʲmˌɑːf/,*/kʲʷˈeːj/,*/mːˈɑːrːon/,,*/kʲʷˈenːhˌeːd̪/,,,,*/brʲːˈeɣˌɑːd̪ʲi/,,,,*/ˈɑjnːʲˌeːt̪/,,*/ˈɑːd̪ʲxˌɑːh/,,,*/ˈɑːd̪ˌɑs/,,,*/ˈɑːwxʲˌe/,,,,*/bʲˈiːrʲːˡɑ/,,*/brːˈɑɣʲˌes/,
R40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R41,,,,,,,,,,*/kˈɑrːd̪mˌɑːf/,,,,,,,,,,,,,,*/ˈɑːd̪xˌɑːh/,,*/ˈɑrx/,,*/ˈɑ?ɑ/,,,,,,*/bʲˈiːlːɑ/,*/bˈuːðˌɑːx/,,
R42,,,,,,*/fʲˈeːd̪ʲɕˠˌiβˌɑrʲ/,,,,,,,,,*/kˈonʲçʷˌenː/,*/lːˈuɣʲɕˠˌelːf/,*/fˈɑrʲːɡʲˌelːlː/,*/bʲrʲːˈeɣˌɑːd̪ʲi/,*/ˈɑβʲɕˠˌe/,*/ˈɑðʲɣʲˌe/,,,,,,,,,,,,,,,,,
R43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R45,,,,,,*/fʲˈeːd̪ʲɕˠˌivˌɑrʲ/,,,*/nːʲˈeṽ/,,,,,,*/kˈonʲɕʷˌenː/,,,,*/ˈɑvʲɕˠˌe/,,,,,,,,,,,,,,,,,,
R46,*/mːurʲen/,*/mːurʲen/,*/mːɑrʲen/,*/sɑːrʲːen/,*/kɑθmɑːd̪/,*/fʲeːd̪ʲɕˠivɑrʲ/,*/d̪ʲeːnːɑːθ/,*/ɡnːɑːθ/,*/nːʲeṽ/,*/kɑrːd̪mɑːf/,*/kʲʷeːj/,*/mːɑːrːon/,*/buðʲex/,*/kʲʷenːheːd̪/,*/konʲɕʷenː/,*/lːuɣʲɕˠelːf/,*/fɑrʲːɡʲelːlː/,*/bʲrʲːeɣɑːd̪ʲi/,*/ɑvʲɕˠe/,*/ɑðʲɣʲe/,*/ɑjjh/,*/ɑjnːʲeːt̪/,*/ɑlox/,*/ɑːd̪xɑːh/,*/ɑrːd̪/,*/ɑrx/,*/ɑːd̪ɑs/,*/ɑ?ɑ/,*/ɑːθʲel/,*/ɑːwxʲe/,*/bɑnon/,*/bɑrːrː/,*/bʲel/,*/bʲiːlːɑ/,*/buːðɑːx/,*/brːɑɣʲes/,*/nːʲe/
